date,equity,cash,gross_exposure,net_exposure,positions
2026-08-06,100055.03,70150.28,29904.75,29904.75,1
2026-08-07,99911.71,70150.28,29761.42,29761.42,1
2026-08-10,99742.28,70150.28,29592.0,29592.0,1
2026-08-11,100831.61,70150.28,30681.33,30681.33,1
2026-08-12,100475.28,70150.28,30325.0,30325.0,1
2026-08-13,100887.28,70150.28,30737.0,30737.0,1
2026-08-14,100235.78,70150.28,30085.5,30085.5,1
2026-08-17,99629.28,70150.28,29479.0,29479.0,1
2026-08-18,100035.78,70150.28,29885.5,29885.5,1
2026-08-19,101100.28,70150.28,30950.0,30950.0,1
2026-08-20,101975.28,70150.28,31825.0,31825.0,1
2026-08-21,101150.28,70150.28,31000.0,31000.0,1
2026-08-24,101290.37,69813.62,31476.75,31476.75,1
2026-08-25,100860.33,69813.62,31046.71,31046.71,1
